Sr_No,Category,Date,Subject,Status
"1.1.31","ADMINISTRATION","19.12.2019","Rectification of Accident Blackspots-Guidelines on preparation of proposals; granting sanctions; execution of works; etc","Pending"
"1.1.32","ADMINISTRATION","21.01.2020","Delegation of Power to CGM(HR/Admin)- for approving proposals to grant Post-Retirement Medical Facilities under NHAI (Medical Attendance and Treatment) Regulations;1997","Pending"
"1.1.33","ADMINISTRATION","25.04.2022","“Provision of safe road crossing measures by construction of Foot Over Bridges (FoBs); Pedestrian Under Passes (PUPs); Pedestrian Sub Ways (PSWs); Cautionary/Informative Road Sign Boards/Road markings and other safety measures including sola lighting in places of large public movements e.g. Educational Institutions; Religious Places; Hospitals and Local Haat/Bazaars located on/ near the National Highways - Delegation of powers of Regional Officers”","Pending"
"1.1.34","ADMINISTRATION","31.10.2022","Clarification on Sanction of Leave-reg.","Pending"
"1.1.35","ADMINISTRATION","19.05.2023","Delegation of Powers","Pending"
"1.1.36","ADMINISTRATION","16.01.2025","Revision of Delegation of Powers-reg.","Pending"
"1.1.37","ADMINISTRATION","07.07.2025","Revision of Delegation of Powers -reg.","Pending"
"1.1.4","ADMINISTRATION","07.09.2009","Delegation of Powers to Chairman;Member and other officers of NHAI","Pending"
"1.1.5","ADMINISTRATION","08.09.2011","Delegation of Power to Chairman;Members and other officers of the NHAI ?Modification of power for Authorization of tour of officers in field offices (i.e. ZOs;ROs;SLOs;PIUs;CMUs and site offices;etc)","Pending"
"1.1.6","ADMINISTRATION","15.09.2011","Payment of Gratuity and Leave Encashment.","Pending"
"1.1.7","ADMINISTRATION","19.12.2011","Delegation of Power to Chairman;Members and other officers of the NHAI- Modification of power for purchase of Stationary & office stores including papers for printing;photocopying etc.","Pending"
"1.1.8","ADMINISTRATION","27.06.2012","Delegation of Power to Chairman;Members and other officers of the NHAI.","Pending"
"1.1.9","ADMINISTRATION","06.07.2012","Delegation of Power to Chairman;Members and other officers of the NHAI","Pending"
"1.10.1","ADMINISTRATION","24.10.2005","Laying of notifications in both Houses of Parliament.","Pending"
"1.10.2","ADMINISTRATION","09.02.2009","Preparation of replies to Parliament Questions","Pending"
"1.10.3","ADMINISTRATION","18.12.2009","Laying of the Annual Reports and Audited Accounts of the Authority on the Table of the Houses of Parliament-Examination by the Committee on papers Laid on the Table (COPLOT);Rajya Sabha.","Pending"
"1.10.4","ADMINISTRATION","17.06.2010","Laying of Annual Reports and Audited Accounts of the Authority on the Table of the Houses of Parliament- Recommendation of the Committee on papers laid on the Table","Pending"
"1.10.5","ADMINISTRATION","26.02.2016","Timely  submission for material/reply to Parliament questions","Pending"
"1.10.6","ADMINISTRATION","09.02.2024","Approval of Annual Calendar for preparation and submission of Annual and Quarterly Accounts to the concerned Authorities and subsequent compliance of Statutory and Regulatory obligations CAG Audit 2022-Reg.","Pending"
"1.10.7","ADMINISTRATION","26.02.2024","Standard Operating Procedure (SOP) for laying of Regulations made by NHAI under Section 35 of NHAI Act; 1988 before both Houses of the Parliament – reg.","Pending"
"1.11.1","ADMINISTRATION","03.08.2005","Communications addressed to Members of Parliament","Pending"
"1.11.2","ADMINISTRATION","24.03.2006","Instructions regarding correspondence with Members of Parliament and Ministers of State Government in accordance with provisions of Manual of office procedure read with Order No. I-26011/3/2001-O&M dated 13.03.2006","Pending"
"1.11.3","ADMINISTRATION","14.09.2012","Timely submission of information relating to VIP references","Pending"
"1.11.4","ADMINISTRATION","10.07.2013","Redressal of Public Grievances","Pending"
"1.11.5","ADMINISTRATION","20.08.2013","Official dealings between the administration and Members of Parliament and State Legislature-Observance of roper procedure.","Pending"
"1.12.1","ADMINISTRATION","20.07.2009","Providing of information/reports related to RTI within the prescribed time limit","Pending"
"1.12.2","ADMINISTRATION","09.04.2013","Procedure for disposal of RTI applications and appeals at RO level.","Pending"
"1.12.3","ADMINISTRATION","22.01.2014","CIC order regarding applicant?s address","Pending"
"1.12.4","ADMINISTRATION","12.05.2015","Public disclosure of information- Topical developments in projects of NHAI having public importance","Pending"
"1.12.5","ADMINISTRATION","16.06.2025","Procedure for disposal of RTI Applications and Appeals -reg.","Pending"
"1.13.13","ADMINISTRATION","12.03.2025","Requisition for Vehicle","Pending"
"1.13.25","ADMINISTRATION","29.02.2024","Membership of Death Benevolent Scheme","Pending"
"1.13.35","ADMINISTRATION","06.02.2012","Standard application format for advertisement of vacancies for various posts in NHAI","Pending"
"1.13.36","ADMINISTRATION","23.05.2013","Obtaining undertaking from officers and employees of NHAI (including deputationist and long-term/short-term contract employees)","Pending"
"1.13.37","ADMINISTRATION","25.09.2012","Format of certificate for handing/taking over charge by technical officers","Pending"
"1.13.38","ADMINISTRATION","06.11.2012","Handing-taking over of charge by GMs/ DGMs/Managers who are holding the charge of Project Directors.","Pending"
"1.13.39","ADMINISTRATION","18.07.2018","Standard Application format for advertisemnt of vacancies for various posts in NHAI-reg.","Pending"
"1.13.8","ADMINISTRATION","29.01.2024","Briefcase Reimbursement","Pending"
"1.2.1.1","ADMINISTRATION","07.01.2014","Regulation of facilities and perquisites in case of officers taken on deputation in NHAI","Pending"
"1.2.2.1","ADMINISTRATION","01.01.2009","NHAI (HRA & Leased Accommodation) Regulation; 1997 : Revision of ceiling of rent for leased accommodation.","Pending"
"1.2.2.2","ADMINISTRATION","22.05.2014","Lease facility where both husband and wife are working.","Pending"
"1.2.2.3","ADMINISTRATION","24.10.2024","NHAI (HRA & Leased Accommodation) Regulations; 1997 (as amended) – Revision of ceiling rates of Lease Rent & License Fee - reg.","Pending"
"1.2.3.1","ADMINISTRATION","08.09.2003","Mobile Phone facility to PDs of level of Manager (Tech)","Pending"
"1.2.3.10","ADMINISTRATION","11.09.2024","Guidelines for the Use of NHAI’s CUG Mobile Numbers - reg.","Pending"
"1.2.3.11","ADMINISTRATION","27.03.2025","Simplified Procedure for Re-imbursement of Internet/ Phone Rental Call Charges under Special Campaign 4.0; Para 3(j) of MoRT&H OM No. CD-13012/01/2024-Coord dated 11.09.2024 -reg.","Pending"
"1.2.3.2","ADMINISTRATION","08.09.2006","Reimbursement of rentals and call charges in respect of residential and mobile phones.","Pending"
"1.2.3.3","ADMINISTRATION","13.09.2006","Facility of mobile phone instrument to all officers in the level of Managers and DGMs.","Pending"
"1.2.3.4","ADMINISTRATION","26.03.2010","Revise ceiling limits for  laptop; reimbursement of cost of mobile instruments; telephone rental/call charges; and retentions of mobile instruments and laptops","Pending"
"1.2.3.5","ADMINISTRATION","21.02.2013","Laptop/notebook facility to officials drawing GP-6600/-","Pending"
"1.2.3.6","ADMINISTRATION","15.01.2016","Providing I-Pad or Tablet for NHAI Project officials","Pending"
"1.2.3.7","ADMINISTRATION","31.01.2024","Policy for Laptop/ I-pad/ Tablet/ Similar Device; Mobile Instrument and Rental Call Charges-reg.","Pending"
"1.2.3.8","ADMINISTRATION","02.02.2024","Policy for Laptop/ I-pad/ Tablet/ Similar Device; Mobile Instrument and Rental Call Charges-reg.","Pending"
"1.2.3.9","ADMINISTRATION","16.07.2024","Clarification regarding the period of depreciation calculation in respect of retention of Laptop/i-Pad/Tablet/Similar Device or Mobile -reg.","Pending"
"1.2.4.1","ADMINISTRATION","01.05.2003","Medical check-up of regular /deputationists employees.","Pending"
"1.2.4.2","ADMINISTRATION","19.09.2003","Reimbursement of medical expenditure to employees made against a certification in respect of actual expenses incurred.","Pending"
"1.2.4.3","ADMINISTRATION","23.01.2004","Simplifications of procedures for settling claims of reimbursement of expenditure incurred on medical grounds","Pending"
"1.2.4.4","ADMINISTRATION","23.07.2013","Annual Medical Examination for all officers of NHAI who are above the age of 40 years on regular/deputation basis.","Pending"
"1.2.4.5","ADMINISTRATION","31.01.2018","Post retiremnet medical facility (Outdoor Treatment) for NHAI employees","Pending"
"1.2.4.6","ADMINISTRATION","24.04.2018","Post Retirement medical facility (Outdoor treatment) for NHAI employees-reg.","Pending"
"1.2.4.7","ADMINISTRATION","19.12.2022","Reimbursement of medical expenses in those cases where officer/ employee seeks permission to allow Husband and/or wife to avail benefit of medical facility from their respective organization-reg.","Pending"
"1.2.5.1","ADMINISTRATION","21.10.2003","LTC facility to contractual employees.","Pending"
"1.2.5.2","ADMINISTRATION","04.11.2004","Air Travel permission for DGM/ Manager level officers.","Pending"
"1.2.6.1","ADMINISTRATION","21.01.2020","Implementation of Special Concession to NHAI`s Employees working in Kashmir Valley as per DoPT`s Om Dated 08.01.2019","Pending"
"1.2.6.2","ADMINISTRATION","21.06.2023","Implementation of Special Concession to Central Government employees working in Kashmir Valley as per DoPT Office Memorandum dated 14.10.2020 & 12.09.2022-reg.","Pending"
"1.2.6.3","ADMINISTRATION","06.05.2024","Implementation of decisions relating to Special Allowance for Child Care for Women with disabilities -reg.","Pending"
"1.2.6.4","ADMINISTRATION","25.07.2024","Allowing maximum 10 days stay at Hotel to Officers/ Employees of NHAI on transfer in Public Interest -reg.","Pending"
"1.2.6.5","ADMINISTRATION","31.07.2024","NHAI (Travelling Allowance & Daily Allowance) Regulation 1997 - Revised Entitlements in respect of Hotel Tariffs; Travelling Allowances; etc.-reg.","Pending"
"1.2.6.6","ADMINISTRATION","07.03.2025","Extension of Special Concessions/Incentives to the Central Government (NHAI) Employees working in Kashmir Valley for a further period of three years w.e.f. 01.08.2024-reg","Pending"
"1.2.6.7","ADMINISTRATION","17.03.2025","Revision in Dress Allowance w.e.f. 01.01.2024-reg.","Pending"
"1.2.6.8","ADMINISTRATION","28.03.2025","Reimbursement of the Amount for Purchase of Briefcase/ Ladies Bag/ Hand Bag/ Office Bag; etc. -reg.","Pending"
"1.3.1.1","ADMINISTRATION","02.12.1997","Recruitment of officers and employees in NHAI- 16th Authority meeting decision","Pending"
"1.3.1.10","ADMINISTRATION","08.11.2016","Performance audit of officers and employees of NHAI.","Pending"
"1.3.1.11","ADMINISTRATION","28.02.2017","Partial Modification to Policy No. 1.3.1.10/2016 dated 08.11.2016; the Review Committee.","Pending"
"1.3.1.12","ADMINISTRATION","21.06.2017","Guidelines and Procedures for engaging External Professionals & Young Professionals in NHAI.","Pending"
"1.3.1.13","ADMINISTRATION","14.07.2017","Guidelines and procedures for Internship Scheme in NHAI - reg.","Pending"
"1.3.1.14","ADMINISTRATION","08.09.2017","Contracts entered by NHAI with IHMCL","Pending"
"1.3.1.15","ADMINISTRATION","04.10.2017","Guidelines and Procedures for engaging External Professionals and Young Professionals in NHAI.","Pending"
"1.3.1.16","ADMINISTRATION","01.02.2018","Guidelines and procedures for Internship Scheme in NHAI.","Pending"
"1.3.1.17","ADMINISTRATION","26.06.2018","Clarification to NHAI/Policy Guidelines for External Professionals & Young Professionals/2017 issued vide circular No. 1.3.1.12/2017 Dated; the 21st June; 2017.","Pending"
"1.3.1.18","ADMINISTRATION","20.03.2019","Regarding Pay; allowances & Facilities for overseas offices.","Pending"
"1.3.1.19","ADMINISTRATION","15.04.2019","Clarification to NHAI/Policy Guidelines/External Professionals & Young Professional/2007","Pending"
"1.3.1.2","ADMINISTRATION","17.11.1999","Creation of various posts in Finance Division of Authority- 26th Authority meeting decision","Pending"
"1.3.1.20","ADMINISTRATION","22.11.2019","Guideline for screening of applications-equivalence of CDA vis-a-vis PSU Bank Pay Scales/Levels.","Pending"
"1.3.1.21","ADMINISTRATION","23.03.2020","Preventive Measures to contain the spread of COVID-19","Pending"
"1.3.1.22","ADMINISTRATION","12.05.2020","Revision of remuneration to External Professionals issued vide circular No. 1.3.1.12/2017 dated 21st June; 2017","Pending"
"1.3.1.23","ADMINISTRATION","11.02.2021","Deletion of Regulation 13 pertaining to ‘absorption” in NHAI Recruitment Regulations-reg.","Pending"
"1.3.1.24","ADMINISTRATION","04.03.2021","Identification of Posts under PwD (Persons with disabilities) Category on Direct Recruitment Mode in NHAI.","Pending"
"1.3.1.25","ADMINISTRATION","17.06.2022","Guidelines for screening of applications – equivalence of CDA vis-à-vis IDA Pay Scales - reg.","Pending"
"1.3.1.26","ADMINISTRATION","10.01.2023","Implementation of National Pension System (NPS) Rules in NHAI","Pending"
"1.3.1.27","ADMINISTRATION","12.05.2023","Grant of Honorarium to Inquiry Officers/ Presenting Officers in the departmental inquiries","Pending"
"1.3.1.28","ADMINISTRATION","19.05.2023","Grant of Honorarium to Inquiry Officers/ Presenting Officers in the Departmental Inquiries","Pending"
"1.3.1.29","ADMINISTRATION","10.10.2023","बाहरी पेशेवरों (ईपी) और युवा पेशेवरों (वाईपी) के कार्यकाल के विस्तार; समयपूर्व इस्तीफे की स्वीकृति और पारिश्रमिक में वृद्धि आदि के मामलों को संसाधित करने के लिए मानक संचालन प्रक्रिया (एसओपी) के संबंध में.","Pending"
"1.3.1.3","ADMINISTRATION","27.12.2002","Re-designation of Draughtsman as Technical Assistant","Pending"
"1.3.1.30","ADMINISTRATION","16.01.2024","Provision for Service Bond in case of Direct Recruitment made by NHAI – Reg.","Pending"
"1.3.1.31","ADMINISTRATION","31.01.2024","Provision for Service Bond in case of Direct Recruitment made by NHAI – Reg.","Pending"
"1.3.1.32","ADMINISTRATION","06.05.2024","Guidelines related to acceptance of  ‘Commercial Employment after Retirement’ in respect of Officers and Employees of NHAI – Reg.","Pending"
"1.3.1.33","ADMINISTRATION","21.06.2024","Revision of rates of House Rent Allowance (HRA) after increase of Dearness Allowance (DA) to 50%","Pending"
"1.3.1.34","ADMINISTRATION","21.06.2024","Adoption of enhancement of maximum limit of Retirement Gratuity and Death Gratuity from Rs.20 lakh to Rs.25 lakh","Pending"
"1.3.1.35","ADMINISTRATION","02.08.2024","Revision of Deputation (Duty) Allowance and Special Allowance for Child Care for Women with disabilities on increase of Dearness Allowance to 50% - reg.","Pending"
"1.3.1.36","ADMINISTRATION","05.08.2024","Withdrawing of Policy Circular No. 1.3.1.19/2019 dated 15th April; 2019- reg.","Pending"
"1.3.1.37","ADMINISTRATION","06.08.2024","Policy Guidelines for “External Professionals in Information Technology – Project Management Unit (IT- PMU)”- reg.","Pending"
"1.3.1.38","ADMINISTRATION","10.03.2025","Payment of Gratuity and Leave Encashment to the Employees of NHAI -reg.","Pending"
"1.3.1.39","ADMINISTRATION","02.04.2025","Reimbursement of Children Education Allowance and Hostel Subsidy in accordance with New Education Policy 2020- reg.","Pending"
"1.3.1.4","ADMINISTRATION","02.03.2009","Norms for sanction of technical posts in respect of BOT works.","Pending"
"1.3.1.40","ADMINISTRATION","17.06.2025","Policy Guidelines for External Professionals (EPs) in IT-PMU -discontinuation of Work from Home Facility - reg.","Pending"
"1.3.1.41","ADMINISTRATION","04.07.2025","Revision of Remuneration of Retired Government Employees engaged as External Professionals (EPs) in NHAI -reg.","Pending"
"1.3.1.42","ADMINISTRATION","05/07/2025","Domain Specialisation Charges in respect of External Professionals (EPs) engaged by NHAI (who are Retired Government Employees)","Pending"
"1.3.1.43","ADMINISTRATION","08.07.2025","Modification to the Guidelines and Procedure for engagement of External Professionals (EPs) and Young Professionals (YPs) for engagement of Eminent External Professionals (EEP) in NHAI -reg.","Pending"
"1.3.1.5","ADMINISTRATION","16.08.2010","Status and perquisites of CVO as Functional Director of Board Level.","Pending"
"1.3.1.6","ADMINISTRATION","17.05.2012","Streamlining the functioning of Field Offices","Pending"
"1.3.1.7","ADMINISTRATION","11.06.2013","Guidelines for screening of applications ?equivalence of CDA vis-?-vis IDA pay scales.","Pending"
"1.3.1.8","ADMINISTRATION","25.11.2013","Revision of sanctioned strength of DM(T) and Manager (Tech)","Pending"
"1.3.1.9","ADMINISTRATION","22.09.2014","Obtaining undertaking from officers and employees of NHAI (including deputationist and long-term/short-term contract employees).","Pending"
"1.3.2.1","ADMINISTRATION","21.08.2000","Amendment to the National Highways Authority of India (leave) Regulations;1997 - Board Decision","Pending"
"1.3.2.10","ADMINISTRATION","16.05.2012","Initiation of process for extension of deputation of officers working in NHAI.","Pending"
"1.3.2.11","ADMINISTRATION","27.08.2012","Outside influence for absorption;transfer and posting","Pending"
"1.3.2.12","ADMINISTRATION","20.09.2012","Extension of deputation tenure/absorption in respect of Manager (Tech);DGM (Tech) and GM(Tech) level officers in NHAI- Ministry?s direction.","Pending"
"1.3.2.13","ADMINISTRATION","21.09.2012","Independent assessment by Regional Officers and CGM(Tech) of Managers for absorption on regular basis.","Pending"
"1.3.2.14","ADMINISTRATION","01.10.2012","Transfer of officers on Zonal basis.","Pending"
"1.3.2.15","ADMINISTRATION","26.02.2013","Posting of technical and non-technical CGMs in ROs of NHAI","Pending"
"1.3.2.16","ADMINISTRATION","12.04.2013","Formulation of transfer policy","Pending"
"1.3.2.17","ADMINISTRATION","13.05.2013","Clarification on encashment of earned leave and half-pay leave","Pending"
"1.3.2.18","ADMINISTRATION","15.05.2013","Change in deputation period from 3 to 5 years.","Pending"
"1.3.2.19","ADMINISTRATION","17.06.2013","Policy on Annual Performance Appraisal Report (APAR) [earlier known as ACR] and issues related thereto","Pending"
"1.3.2.2","ADMINISTRATION","05.06.2002","Channel of submission of ACRs in respect of officers and staff of NHAI.","Pending"
"1.3.2.20","ADMINISTRATION","03.02.2014","Prohibition on bringing any political or outside influence in respect of matters pertaining to service under NHAI.","Pending"
"1.3.2.21","ADMINISTRATION","22.07.2014","Regulation of Gratuity in case of employees absorbed in NHAI from Central Government/ State Government Deptts/Autonomous Bodies/PSUs.","Pending"
"1.3.2.22","ADMINISTRATION","29.03.2016","Modification of Individual Target Setting Process at NHAI w.e.f. 1st April; 2016","Pending"
"1.3.2.23","ADMINISTRATION","07.06.2017","Remittance of Gratuity Contribution and other such statutory contributions sought by the parent departments of officers from State/Central PSUs on deputation to NHAI.","Pending"
"1.3.2.24","ADMINISTRATION","15.03.2018","Policy regarding  Annual Property Returns and Financial transactions in respect of the officers working on deputation in NHAI.","Pending"
"1.3.2.25","ADMINISTRATION","02.07.2018","Group Life Insurance for the employees of NHAI-reg.","Pending"
"1.3.2.26","ADMINISTRATION","27.03.2019","Remittance of Gratuity Contribution and other statutory contributions in respect of officers from State/Central PSUs on deputation to NHAI","Pending"
"1.3.2.27","ADMINISTRATION","16.05.2019","Guidelines reg. deputation of all officers in NHAI.","Pending"
"1.3.2.28","ADMINISTRATION","06.03.2020","Guideline to deal with claims for compensation to the victims/Families of the victims who die or become permanently disabled due to negligence and /or unforeseen causes at the workplace in NHAI reg.","Pending"
"1.3.2.29","ADMINISTRATION","08.07.2020","Extension of deputation period of Technical Officers (Manager (T); DGM (T) & GM (T)] - Qualitative Assessment of Performance of Officers before considering their extension- reg.","Pending"
"1.3.2.3","ADMINISTRATION","16.02.2004","Charge memo for handing/taking over of charge.","Pending"
"1.3.2.30","ADMINISTRATION","03.12.2020","Transfers & Postings in NHAI","Pending"
"1.3.2.31","ADMINISTRATION","21.12.2020","Payment of provisional pay-reg.","Pending"
"1.3.2.32","ADMINISTRATION","22.05.2021","Group Insurance Scheme for the employees of NHAI - Enhancement of Insurance Coverage.","Pending"
"1.3.2.33","ADMINISTRATION","30.04.2024","Posting on Transfer/ Rotation of Finance Personnel – Reg.","Pending"
"1.3.2.34","ADMINISTRATION","30.04.2024","Posting on Transfer/ Rotation of Secretarial Personnel – Reg.","Pending"
"1.3.2.4","ADMINISTRATION","02.04.2004","Channel of reporting regarding.","Pending"
"1.3.2.5","ADMINISTRATION","17.10.2005","Introductino of Non-functional pay scale of Rs.8000-275-13500 to Private Secretaries of NHAI","Pending"
"1.3.2.6","ADMINISTRATION","15.04.2010","Grant of Grade Pay of Rs.4;600/- (PB-2) to Personal Assistants.","Pending"
"1.3.2.7","ADMINISTRATION","15.04.2010","Grant of Grade pay of Rs.4;800/- (PB-2) and Rs.5;400/- (PB-3) to Private Secretaries on completion of 4 years of regular service.","Pending"
"1.3.2.8","ADMINISTRATION","06.07.2010","Grant of Grade pay of Rs.4;800/- (PB-2) and Rs.5;400/- (PB-3) to Private Secretaries on completion of 4 years of regular service.","Pending"
"1.3.2.9","ADMINISTRATION","30.03.2012","Implementation of transfer and repatriation orders","Pending"
"1.3.3.1","ADMINISTRATION","29.03.2000","Guidelines for engagement of individuals by PIUs","Pending"
"1.3.3.10","ADMINISTRATION","30.12.2008","Entitlement of short term contract employees","Pending"
"1.3.3.11","ADMINISTRATION","11.09.2009","Delegation of power to PD of PIUs/CMUs to appoint/hire manpower","Pending"
"1.3.3.12","ADMINISTRATION","19.04.2010","Entitlement of short term contract employees","Pending"
"1.3.3.13","ADMINISTRATION","30.12.2011","emoluments to Group D staff engaed through placement agencies.","Pending"
"1.3.3.14","ADMINISTRATION","04.05.2012","Appointment of Site Engineers/Site Supervisors-reg.","Pending"
"1.3.3.15","ADMINISTRATION","28.05.2012","Consolidated emoluments payable to the Short-term contract employees in NHAI","Pending"
"1.3.3.16","ADMINISTRATION","15.10.2012","Terms and conditions in respect of personnel engaged on long term contract basis","Pending"
"1.3.3.17","ADMINISTRATION","25.10.2012","Appointment of Site Engineers/ Site Supervisors.","Pending"
"1.3.3.18","ADMINISTRATION","21.01.2013","Consolidated emoluments payable to the Short-term contract employees in NHAI- clarification regarding payment of statutory charges.","Pending"
"1.3.3.19","ADMINISTRATION","26.04.2013","Appointment of Site Engineers/Site Supervisors on Short Term Contract basis at Regional Offices-reg.","Pending"
"1.3.3.2","ADMINISTRATION","07.06.2005","Engagement of support staff in the PIUs.","Pending"
"1.3.3.20","ADMINISTRATION","31.10.2013","Revision of consolidated emoluments payable to the Short-term contract employees in NHAI","Pending"
"1.3.3.21","ADMINISTRATION","27.01.2014","Maintenace and repair of roads and appointment of Site Engineer.","Pending"
"1.3.3.22","ADMINISTRATION","09.04.2015","Revision of consolidated emoluments payable to the short term contract employees in NHAI.","Pending"
"1.3.3.23","ADMINISTRATION","27.05.2015","Revision of consolidated emoluments payable to the Short-term contract employees in NHAI engaged through agency.","Pending"
"1.3.3.24","ADMINISTRATION","21.12.2015","Revision of consolidated emoluments payable to the Short-term contract employees in NHAI engaged through agency.","Pending"
"1.3.3.25","ADMINISTRATION","15.01.2016","Engagement of IT Engineer","Pending"
"1.3.3.26","ADMINISTRATION","13.08.2018","Revision of consolidated emoluments payable to the short term contract employees in NHAI engaged through Agencies-reg.","Pending"
"1.3.3.27","ADMINISTRATION","09.08.2019","Revision of norms/ guidelines for engagement of manpower on short term basis in the field offices of NHAI.","Pending"
"1.3.3.28","ADMINISTRATION","02.11.2020","Revision of Remuneration for Site Engineers- reg.","Pending"
"1.3.3.3","ADMINISTRATION","20.07.2005","Entitlement of short term contract employees","Pending"
"1.3.3.4","ADMINISTRATION","11.11.2005","Grant of higher emoluments to Accountants and Stenographers on completion of five years of service on long term contract","Pending"
"1.3.3.5","ADMINISTRATION","28.11.2007","Appointment of Site Engineers/ Site Supervisors-reg.","Pending"
"1.3.3.6","ADMINISTRATION","11.02.2008","Appointment of Contract Engineer at Head quarter","Pending"
"1.3.3.7","ADMINISTRATION","05.05.2008","Appointment of Site Engineers/Site Supervisors.","Pending"
"1.3.3.8","ADMINISTRATION","17.07.2008","Emoluments to be paid to the Peon;Security guards engaged through placement agency/security agency in PIU/CMU","Pending"
"1.3.3.9","ADMINISTRATION","21.08.2008","Re-designation of stenographers on completion of 5 years service as Pas and grant of upgrade scale of Rs.6500-200-10500 as against the present scale of Rs.5500-175-9000/-","Pending"
"1.3.4.1","ADMINISTRATION","29.11.2002","Instruction regarding approval for foreign tours of officers","Pending"
"1.3.4.10","ADMINISTRATION","20.09.2012","Digitalization of all structures executed by NHAI.","Pending"
"1.3.4.11","ADMINISTRATION","25.10.2012","Exercise of delgated powers.","Pending"
"1.3.4.12","ADMINISTRATION","11.12.2012","Implmentation of Executive Committee decisions-reg.","Pending"
"1.3.4.13","ADMINISTRATION","26.11.2012","Invitation from External agencies to events organized by External Agencies for participation in training/workshop/ seminar","Pending"
"1.3.4.14","ADMINISTRATION","02.04.2013","Representation of NHAI in the meetings being taken by Hon?ble Minister (RT&H)","Pending"
"1.3.4.15","ADMINISTRATION","04.07.2013","Formation of Joint Working Group between NHAI and DFCCIL","Pending"
"1.3.4.16","ADMINISTRATION","03.09.2013","Representation from NHAI in Senior officers meeting at MoRT&H (Members reg)","Pending"
"1.3.4.17","ADMINISTRATION","19.09.2013","Filing the online application form (FC-2 Form) for grant of prior permission for accepting foreign hospitality during foreign visits.","Pending"
"1.3.4.18","ADMINISTRATION","20.09.2013","Expenditure Management- Economy Measures and Rationalisation of Expenditure-reg.","Pending"
"1.3.4.19","ADMINISTRATION","01.10.2013","Entitlement of diplomatic/ official passports to officers working in autonomous bodies and PSUs","Pending"
"1.3.4.2","ADMINISTRATION","23.03.2005","Coordination with Nodal Officers","Pending"
"1.3.4.20","ADMINISTRATION","12.11.2013","Residual service condition for absorption/extension in respect of Manager (Tech);DGM (Tech) and GM (Tech) level officers in NHAI.","Pending"
"1.3.4.21","ADMINISTRATION","13.11.2013","Facilitation Fee to be levied by authorised travel agents on air tickets booked on Government account.","Pending"
"1.3.4.22","ADMINISTRATION","18.03.2014","Public Procurmeent Policy for Micro and Small Enterprise (MSEs)-reg","Pending"
"1.3.4.23","ADMINISTRATION","25.03.2014","Allotment/retention of Government accommodation to members;NHAI","Pending"
